object_name,rf_material,epsilon_r,sigma_S_m,thickness_m
pabA_1_wE_PA_6_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_7,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_7.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_7_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_7_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_8,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_8.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_8_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_8_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_9,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_9.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_9_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_9_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_0,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_0.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_0_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_0_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_1,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_1.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_10,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_10.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_10_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_10_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_11,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_11.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_11_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_11_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_1_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_1_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_2,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_2.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_2_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_2_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_3,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_3.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_3_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_3_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_4,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_4.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_4_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_4_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_5,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_5.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_5_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_5_B.001_S,concrete,5.31,0.0326,0.25
