id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
451,722,34,10770,17926916,-31.513,-60.725,2403,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,0.404,211.0,B28 (700); B4 (AWS); B7 (2600)
450,722,7,2731,8374330,-31.514,-60.726,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,0.549,213.5,B5 (850); B1 (2100)
449,722,310,13201,20167010,-31.515,-60.726,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,0.644,208.0,B5 (850); B1 (2100)
448,722,7,2761,134150658,-31.516,-60.726,2334,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,0.744,204.0,B28 (700); B4 (AWS); B7 (2600)
442,722,7,2731,8379136,-31.514,-60.729,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,0.744,232.1,B5 (850); B1 (2100)
443,722,310,3224,23825,-31.513,-60.73,1730,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,0.765,243.1,B5 (850); B2 (1900)
445,722,310,13204,24457724,-31.509,-60.731,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,0.783,277.2,B5 (850); B1 (2100)
456,722,310,13201,20177010,-31.504,-60.73,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,0.945,313.8,B5 (850); B1 (2100)
458,722,34,791,6888556,-31.503,-60.729,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,0.965,322.5,B5 (850); B1 (2100)
447,722,310,13201,20121913,-31.508,-60.734,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,1.082,281.2,B5 (850); B1 (2100)
418,722,34,702,60044,-31.52,-60.725,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,1.144,190.5,B5 (850); B2 (1900)
417,722,310,13201,20177009,-31.52,-60.725,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,1.144,190.5,B5 (850); B1 (2100)
444,722,310,13201,20156905,-31.511,-60.736,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,1.257,264.3,B5 (850); B1 (2100)
416,722,34,10770,18694925,-31.524,-60.723,3019,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,1.57,180.7,B28 (700); B4 (AWS); B7 (2600)
424,722,310,13204,24487724,-31.52,-60.71,5859,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,1.655,132.8,B5 (850); B1 (2100)
459,722,34,10770,17926917,-31.502,-60.739,2312,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,1.768,299.7,B28 (700); B4 (AWS); B7 (2600)
457,722,34,10770,18694926,-31.504,-60.741,1656,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,1.845,290.8,B28 (700); B4 (AWS); B7 (2600)
476,722,310,13204,24492386,-31.494,-60.716,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,1.881,20.1,B5 (850); B1 (2100)
415,722,34,10770,17926913,-31.527,-60.723,1748,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,1.903,180.6,B28 (700); B4 (AWS); B7 (2600)
446,722,34,791,6888557,-31.508,-60.744,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.02,276.0,B5 (850); B1 (2100)
460,722,34,791,6888553,-31.496,-60.737,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.048,318.9,B5 (850); B1 (2100)
414,722,7,2731,8375727,-31.53,-60.72,1291,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.252,173.2,B5 (850); B1 (2100)
462,722,34,10770,17926912,-31.493,-60.736,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.256,326.3,B28 (700); B4 (AWS); B7 (2600)
461,722,34,791,6888554,-31.494,-60.738,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.279,320.8,B5 (850); B1 (2100)
440,722,310,13204,24467724,-31.509,-60.747,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.296,272.5,B5 (850); B1 (2100)
463,722,34,10770,17926915,-31.493,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B28 (700); B4 (AWS); B7 (2600)
465,722,34,10770,17926920,-31.493,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B28 (700); B4 (AWS); B7 (2600)
469,722,34,10770,18002693,-31.493,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B28 (700); B4 (AWS); B7 (2600)
466,722,34,10770,18438932,-31.493,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B28 (700); B4 (AWS); B7 (2600)
464,722,34,10770,18770701,-31.493,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B28 (700); B4 (AWS); B7 (2600)
467,722,34,770,7735698,-31.493,-60.737,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B5 (850); B1 (2100)
468,722,34,770,7740521,-31.493,-60.737,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.31,324.4,B5 (850); B1 (2100)
472,722,34,10770,18002692,-31.492,-60.736,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.349,327.8,B28 (700); B4 (AWS); B7 (2600)
413,722,310,13204,24497818,-31.531,-60.72,7642,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.363,173.5,B5 (850); B1 (2100)
470,722,34,10770,18514706,-31.492,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.401,325.9,B28 (700); B4 (AWS); B7 (2600)
471,722,34,10770,18694924,-31.492,-60.737,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.401,325.9,B28 (700); B4 (AWS); B7 (2600)
405,722,34,10770,17926914,-31.522,-60.744,3370,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.419,236.2,B28 (700); B4 (AWS); B7 (2600)
423,722,34,770,7733397,-31.53,-60.713,3570,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.422,157.4,B5 (850); B1 (2100)
412,722,34,10770,18013696,-31.532,-60.722,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.46,178.2,B28 (700); B4 (AWS); B7 (2600)
436,722,310,3224,24472386,-31.516,-60.748,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.483,254.1,B5 (850); B1 (2100)
475,722,34,10770,17926918,-31.49,-60.736,9443,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.54,330.5,B28 (700); B4 (AWS); B7 (2600)
474,722,7,2731,8379137,-31.49,-60.736,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.54,330.5,B5 (850); B1 (2100)
495,722,34,791,6888551,-31.489,-60.734,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.553,335.4,B5 (850); B1 (2100)
435,722,310,13205,24447633,-31.518,-60.748,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.553,249.3,B5 (850); B1 (2100)
410,722,34,10770,17926919,-31.533,-60.722,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.571,178.3,B28 (700); B4 (AWS); B7 (2600)
439,722,310,13204,22844066,-31.512,-60.75,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.589,264.8,B5 (850); B1 (2100)
438,722,310,13204,24497724,-31.513,-60.75,5411,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.601,262.3,B5 (850); B1 (2100)
407,722,7,2701,20661,-31.533,-60.729,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.636,192.9,B5 (850); B2 (1900)
406,722,310,13205,24467805,-31.52,-60.748,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.64,244.8,B5 (850); B1 (2100)
411,722,34,10770,18781708,-31.533,-60.716,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.65,165.9,B28 (700); B4 (AWS); B7 (2600)
494,722,310,13201,20157010,-31.489,-60.737,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.684,329.9,B5 (850); B1 (2100)
408,722,7,2731,8373955,-31.534,-60.725,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.689,184.4,B5 (850); B1 (2100)
409,722,310,13204,24447806,-31.534,-60.726,5295,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.698,186.4,B5 (850); B1 (2100)
441,722,310,13204,24502386,-31.505,-60.751,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.727,281.5,B5 (850); B1 (2100)
422,722,34,702,20044,-31.53,-60.706,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.746,144.5,B5 (850); B2 (1900)
493,722,34,791,6881630,-31.489,-60.739,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.784,326.5,B5 (850); B1 (2100)
473,722,7,2731,8374331,-31.49,-60.741,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.804,322.0,B5 (850); B1 (2100)
492,722,34,791,6889144,-31.489,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.837,324.9,B5 (850); B1 (2100)
491,722,310,13201,20147010,-31.489,-60.741,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.893,323.4,B5 (850); B1 (2100)
387,722,34,791,6881485,-31.536,-60.722,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.905,178.5,B5 (850); B1 (2100)
420,722,34,10770,17963270,-31.534,-60.711,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,2.906,157.3,B28 (700); B4 (AWS); B7 (2600)
404,722,310,13204,22809365,-31.526,-60.747,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,2.91,232.0,B5 (850); B1 (2100)
496,722,7,2731,8374329,-31.487,-60.739,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,2.972,328.9,B5 (850); B1 (2100)
419,722,310,13204,24472385,-31.534,-60.708,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.027,152.4,B5 (850); B1 (2100)
421,722,34,10770,17947909,-31.53,-60.7,2994,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.111,136.0,B28 (700); B4 (AWS); B7 (2600)
390,722,34,10770,18731276,-31.535,-60.708,1432,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.125,153.3,B28 (700); B4 (AWS); B7 (2600)
385,722,7,2731,8377313,-31.538,-60.724,1452,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.128,182.1,B5 (850); B1 (2100)
386,722,34,10770,17999618,-31.538,-60.72,1465,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.138,175.1,B28 (700); B4 (AWS); B7 (2600)
384,722,34,10770,17999630,-31.538,-60.716,1867,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.192,168.3,B28 (700); B4 (AWS); B7 (2600)
389,722,34,10770,17999634,-31.535,-60.706,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.215,150.3,B28 (700); B4 (AWS); B7 (2600)
437,722,34,712,40103,-31.516,-60.756,4354,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.219,257.8,B5 (850); B2 (1900)
383,722,34,10770,18013699,-31.539,-60.724,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.239,182.0,B28 (700); B4 (AWS); B7 (2600)
382,722,310,13204,24482293,-31.539,-60.72,4333,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.248,175.3,B5 (850); B1 (2100)
455,722,310,23204,1215238,-31.49,-60.748,1000,LTE,1,0,True,0,0,23204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.255,312.8,B28 (700); B4 (AWS); B7 (2600)
381,722,34,770,7736091,-31.539,-60.727,2447,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.262,187.0,B5 (850); B1 (2100)
497,722,7,2761,134150659,-31.482,-60.734,2611,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.277,341.1,B28 (700); B4 (AWS); B7 (2600)
428,722,34,10770,17947906,-31.528,-60.695,3518,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.317,127.4,B28 (700); B4 (AWS); B7 (2600)
403,722,310,3224,33808,-31.531,-60.748,1264,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.349,225.5,B5 (850); B2 (1900)
431,722,34,10770,17947912,-31.523,-60.691,3230,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.349,115.8,B28 (700); B4 (AWS); B7 (2600)
380,722,34,10770,17999621,-31.54,-60.724,1204,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.351,181.9,B28 (700); B4 (AWS); B7 (2600)
330,722,34,10770,17995011,-31.539,-60.732,1905,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.353,195.1,B28 (700); B4 (AWS); B7 (2600)
402,722,310,13204,24467805,-31.533,-60.747,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.445,221.7,B5 (850); B1 (2100)
454,722,34,714,40107,-31.493,-60.754,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.503,302.4,B5 (850); B2 (1900)
328,722,310,13205,24482293,-31.54,-60.734,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.513,197.6,B5 (850); B1 (2100)
378,722,34,10770,17993996,-31.542,-60.724,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.573,181.8,B28 (700); B4 (AWS); B7 (2600)
429,722,34,10770,17947918,-31.526,-60.69,4031,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.589,120.0,B28 (700); B4 (AWS); B7 (2600)
327,722,34,770,7734560,-31.541,-60.733,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.592,195.6,B5 (850); B1 (2100)
379,722,34,10770,18048259,-31.542,-60.727,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.593,186.4,B28 (700); B4 (AWS); B7 (2600)
425,722,34,10770,17999619,-31.534,-60.697,3103,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.63,137.6,B28 (700); B4 (AWS); B7 (2600)
323,722,310,13205,24497052,-31.537,-60.745,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.676,214.9,B5 (850); B1 (2100)
374,722,34,2761,133641223,-31.543,-60.724,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.684,181.8,B28 (700); B4 (AWS); B7 (2600)
365,722,7,2731,2541251,-31.543,-60.724,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.684,181.8,B5 (850); B1 (2100)
370,722,7,2731,2543023,-31.543,-60.724,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.684,181.8,B5 (850); B1 (2100)
368,722,34,10770,17942019,-31.543,-60.725,2403,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.688,183.2,B28 (700); B4 (AWS); B7 (2600)
377,722,34,714,50229,-31.543,-60.726,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.695,184.7,B5 (850); B2 (1900)
375,722,7,2731,2503437,-31.543,-60.726,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.695,184.7,B5 (850); B1 (2100)
376,722,7,2731,2503442,-31.543,-60.726,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.695,184.7,B5 (850); B1 (2100)
360,722,7,2761,133641220,-31.543,-60.727,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.704,186.2,B28 (700); B4 (AWS); B7 (2600)
364,722,7,2731,2506520,-31.543,-60.727,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.704,186.2,B5 (850); B1 (2100)
369,722,7,2731,2506525,-31.543,-60.727,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.704,186.2,B5 (850); B1 (2100)
366,722,34,770,7741262,-31.543,-60.727,1245,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.704,186.2,B5 (850); B1 (2100)
348,722,34,714,40145,-31.543,-60.728,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B5 (850); B2 (1900)
342,722,34,714,60118,-31.543,-60.728,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B5 (850); B2 (1900)
355,722,7,2761,133634822,-31.543,-60.728,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
359,722,7,2761,133635590,-31.543,-60.728,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
371,722,7,2761,133643530,-31.543,-60.728,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
346,722,7,2761,133709316,-31.543,-60.728,1000,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
363,722,34,10770,17947924,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
362,722,34,10770,17993987,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
350,722,34,10770,17994002,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
354,722,34,10770,17999636,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
357,722,34,10770,18199296,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
372,722,34,10770,18715918,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
343,722,34,10770,19734031,-31.543,-60.728,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
349,722,310,53204,382212,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
358,722,310,53204,1185028,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
367,722,310,53204,1185031,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
345,722,310,53204,1191174,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
352,722,310,53204,1215237,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
373,722,310,53204,1218308,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
361,722,310,53204,2377220,-31.543,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B28 (700); B4 (AWS); B7 (2600)
347,722,7,714,2506520,-31.543,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.715,187.6,B5 (850); B1 (2100)
351,722,34,770,7734607,-31.543,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B5 (850); B1 (2100)
356,722,34,770,7735860,-31.543,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.715,187.6,B5 (850); B1 (2100)
353,722,310,714,24452293,-31.543,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B5 (850); B1 (2100)
344,722,310,3224,24452293,-31.543,-60.728,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.715,187.6,B5 (850); B1 (2100)
485,722,34,711,10010,-31.489,-60.754,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.76,308.1,B5 (850); B2 (1900)
400,722,310,13204,24452293,-31.536,-60.697,3080,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.797,139.9,B5 (850); B1 (2100)
340,722,34,714,40265,-31.544,-60.725,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.799,183.1,B5 (850); B2 (1900)
329,722,34,10770,17993984,-31.539,-60.744,1606,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.81,211.8,B28 (700); B4 (AWS); B7 (2600)
341,722,310,53204,1210881,-31.544,-60.728,1000,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,3.825,187.4,B28 (700); B4 (AWS); B7 (2600)
430,722,34,702,30118,-31.525,-60.686,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.873,115.7,B5 (850); B2 (1900)
397,722,34,712,40145,-31.537,-60.697,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.882,141.0,B5 (850); B2 (1900)
396,722,34,712,50103,-31.537,-60.697,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.882,141.0,B5 (850); B2 (1900)
395,722,34,714,40003,-31.537,-60.697,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.882,141.0,B5 (850); B2 (1900)
338,722,34,714,50044,-31.545,-60.725,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.91,183.0,B5 (850); B2 (1900)
339,722,7,2761,133641217,-31.545,-60.727,15591,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,3.925,185.8,B28 (700); B4 (AWS); B7 (2600)
427,722,34,702,60118,-31.531,-60.689,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.973,126.2,B5 (850); B2 (1900)
486,722,34,791,6882781,-31.487,-60.755,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,3.974,309.8,B5 (850); B1 (2100)
452,722,310,13201,20137009,-31.516,-60.681,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,4.021,99.7,B5 (850); B1 (2100)
337,722,34,770,7741109,-31.546,-60.726,1733,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,4.027,184.3,B5 (850); B1 (2100)
426,722,310,53204,1191171,-31.532,-60.689,4142,LTE,1,0,True,0,0,53204,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,4.039,127.5,B28 (700); B4 (AWS); B7 (2600)
398,722,34,10770,17999628,-31.537,-60.694,1427,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,4.068,137.8,B28 (700); B4 (AWS); B7 (2600)
